Comment,Description,Designator,Footprint,LibRef,Quantity

"JX2";"JX2";"ACCUM, IN, MOTHERBOARD, RF-UNIT";"JX2";"JX2";"4"
"100n";"CAP_0805";"C1, C2, C9, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26";"CAP_0805";"CAP_0805";"16"
"1uF";"CAP_1206";"C3";"CAP_1206";"CAP_1206";"1"
"100n";"CAP_1206";"C4";"CAP_1206";"CAP_1206";"1"
"1n";"CAP_1206";"C5";"CAP_1206";"CAP_1206";"1"
"1000uF";"CAP250RP";"C6";"CAP250RP";"CAP250RP";"1"
"470pF";"CAP_1206";"C7";"CAP_1206";"CAP_1206";"1"
"120pF";"CAP_1206";"C8";"CAP_1206";"CAP_1206";"1"
"22uF";"EEEFC_sizeB";"C10";"EEEFC_sizeB";"EEEFC_sizeB";"1"
"8.2n";"CAP_1206";"C11";"CAPC2013X94X50LL20T25";"CMP-2007-04444-1";"1"
"10n";"CAP_0805";"C12, C13";"CAP_0805";"CAP_0805";"2"
"470uF";"10x7.7, 8.7, 10, 10.5, 12.5";"C1001, C1002";"SMD-G-10X10.2";"_SMD-G-10";"2"
"1n4148w";"Diode";"D25, D27";"SOD3716X135N";"1n4148w";"2"
"SM6T15A";"Diode";"D28";"SMBJ36CATR";"SM6T15A";"1"
"PEC12";"PEC12";"ENC2";"PEC12";"PEC12";"1"
"OPTICAL ENCODER";"OPTICAL ENCODER";"ENCODER_MAIN";"644456-4";"644456-4";"1"
"ESP-01 ESP8266";"ESP-01 ESP8266";"ESP-8266";"ESP-01 ESP8266";"ESP-01 ESP8266";"1"
"RUEF400";"Fuse";"F1";"RUEF400";"RUEF400";"1"
"MF-MSMF110_16-2";"Fuse";"F2";"FUSC4632X85N";"MF-MSMF110_16-2";"1"
"PJ-050B";"PJ-050B";"IN_2";"PJ-050B";"PJ-050B";"1"
"DM3AT-SF-PEJM5";"Connector";"J2";"DM3ATSFPEJM5";"DM3AT-SF-PEJM5";"1"
"FPC-45P-0.5mm";"Connector";"J7";"FH12S45S05SH60";"FH12S-45S-0.5SH_55_";"1"
"";"LCD-MODULE_3'2_480�320";"LCD-MODULE";"LCD-MODULE-3.2-480-320";"LCD-MODULE_3'2_480�320";"1"
"ESP-07S";"";"M1";"ESP-07S";"ESP-07S";"1"
"IRFR9024NPBF";"IRFR9024NPBF, ����������, �-����� 55� 11�";"Q1";"ONSC-DPAK-3-369C-01_V";"CMP-1058-00387-1";"1"
"BSS123";"N-Channel Logic Level Enhancement Mode Field Effect Transistor, 1.7 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel";"Q2";"FAIR-SOT23-3_V";"CMP-2000-04934-1";"1"
"ptv09a-4225f-b102";"Adjustable Resistor PTV09";"R1, R2";"PTV09";"PTV09";"2"
"4.7k";"RES_0805";"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R29, R30, R31, R32, R33, R34, R35, R36";"RES_0805";"RES_0805";"25"
"3.3k";"RES_0805";"R20, R21, R22";"RES_0805";"RES_0805";"3"
"0";"RES_0805";"R23, R24, R25";"RES_0805";"RES_0805";"3"
"30k";"RES_0805";"R26, R27, R28";"RESC2013X60X40NL20T25";"CMP-2001-00626-1";"3"
"PTS645SK50LFS";"PTS645SK50LFS";"S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23";"PTS645SK50LFS";"PTS645SK50LFS";"23"
"BNX016-01";"BNX016-01";"T1";"TRANSF_ICORE";"TRANSF_ICORE";"1"
"MCP3008-I/SL";"MCP3008-I/SL";"U1, U2, U3";"MCP3008-I/SL";"MCP3008-I/SL";"3"
