Comment,Description,Designator,Footprint,LibRef,Quantity

"JX2";"JX2";"13.8V +";"JX2";"JX2";"1"
"CR1220 +";"BR1632A/FA";"B1";"KLS5-CR1220-01";"BR1632A/FA";"1"
"";"2 Pin";"BOOT";"51022-0200";"51022-0200";"1"
"4.7uF 16V";"CAPAE_6.6x6.6h5.4";"C1";"CAPAE_6.6x6.6h5.4";"CAPAE_6.6x6.6h5.4";"1"
"22uF 10V";"CAPAE_4.3x4.3h5.4";"C2, C125, C126";"CAPAE_4.3x4.3h5.4";"CAPAE_4.3x4.3h5.4";"3"
"100n";"CAP_0805";"C3, C4, C5, C6, C9, C16, C19, C21, C23, C31, C44, C45, C46, C47, C48, C49, C51, C53, C56, C57, C58, C59, C61, C62, C65, C67, C69, C70, C71, C72, C73, C74, C76, C78, C79, C81, C82, C83, C84, C86, C87, C88, C89, C91, C93, C94, C95, C96, C97, C98, C99, C100, C107, C109, C110, C112, C113, C114, C115, C117, C118, C120, C123, C124, C134, C135";"CAP_0805";"CAP_0805";"66"
"1uF";"CAP_0805";"C7, C11, C12, C13, C14, C15, C35, C92, C119, C121, C122";"CAP_0805";"CAP_0805";"11"
"10uF 10V";"CAPAE_4.3x4.3h5.4";"C8, C20, C22, C24, C32, C54, C60, C75, C77, C80, C85";"CAPAE_4.3x4.3h5.4";"CAPAE_4.3x4.3h5.4";"11"
"470p";"CAP_0805";"C10, C90, C104, C116";"CAP_0805";"CAP_0805";"4"
"1uF 10V";"CAPAE_4.3x4.3h5.4";"C25, C26, C29";"CAPAE_4.3x4.3h5.4";"CAPAE_4.3x4.3h5.4";"3"
"220p";"CAP_0805";"C27, C28, C30";"CAP_0805";"CAP_0805";"3"
"220uF 10V";"CAPAE_4.3x4.3h5.4";"C33, C34";"EEEFC_size�";"CAPAE_4.3x4.3h5.4";"2"
"NONE";"CAP_0805";"C36";"CAP_0805";"CAP_0805";"1"
"2.7n";"CAP_0805";"C37";"CAP_0805";"CAP_0805";"1"
"6pF";"CAP_0805";"C38, C39";"CAP_0805";"CAP_0805";"2"
"10uF";"CAP_0805";"C40, C41, C50, C52, C64, C66, C68";"CAP_0805";"CAP_0805";"7"
"22p";"CAP_0805";"C42, C43";"CAP_0805";"CAP_0805";"2"
"7.5p";"CAP_0805";"C55";"CAP_0805";"CAP_0805";"1"
"10n";"CAP_0805";"C63, C137";"CAP_0805";"CAP_0805";"2"
"10uF 20V";"CAPAE_4.3x4.3h5.4";"C101, C108";"CAPAE_4.3x4.3h5.4";"CAPAE_4.3x4.3h5.4";"2"
"1uF";"CAP_1206";"C102, C103";"CAP_1206";"CAP_1206";"2"
"680p";"CAP_1206";"C105, C106";"CAP_1206";"CAP_1206";"2"
"10p";"CAP_0805";"C127";"CAP_0805";"CAP_0805";"1"
"8.2n";"CAP_0805";"C136";"CAP_0805";"CAP_0805";"1"
"SMAJ5.0A-TR";"Diode";"D1, D3, D29, D30, D31, D34, D35, D36, D37, D38, D39, D40";"SMBJ36CATR";"SMLVT3V3";"12"
"BAT54C";"BAT54C";"D2";"BAT54C";"BAT54C";"1"
"SS34";"Schottky Diode";"D1001";"SMB";"D Schottky";"1"
"SJ1-3525NG";"SJ1-3525NG";"J1, J2, J3, J5";"SJ1-3525NG";"SJ1-3523N";"4"
"RF-UNIT";"2*5 Pin";"J4";"90131-0126";"90131-0126";"1"
"FPC-45P-0.5mm";"Connector";"J6";"FH12S45S05SH60";"FH12S-45S-0.5SH_55_";"1"
